contig_1 590 1327
contig_1 5536 5712
contig_10 1820 1999
contig_10 9110 9217
contig_10 10426 10695
contig_10 15899 16033
contig_10 23358 23468
contig_10 41676 41840
contig_10 44117 44185
contig_10 51350 51499
contig_100 9185 9370
contig_101 16685 16960
contig_101 29951 31480
contig_102 622 1257
contig_105 357 1052
contig_109 21466 21768
contig_109 22213 22281
contig_111 22406 22624
contig_111 24161 24367
contig_114 3694 3897
contig_114 11588 11785
contig_114 12332 12493
contig_114 13196 13282
contig_114 28165 28386
contig_115 9184 9420
contig_115 9955 10077
contig_116 24609 24938
contig_117 3390 3836
contig_117 11057 11212
contig_117 15002 15166
contig_117 25150 25251
contig_117 26427 26627
contig_117 29133 29363
contig_117 29883 30227
contig_117 32109 32354
contig_117 32931 33401
contig_118 21230 21454
contig_118 22088 22333
contig_118 26719 27063
contig_118 27883 28452
contig_12 958 1167
contig_12 4180 4404
contig_12 6776 6937
contig_12 7730 7834
contig_12 8628 8909
contig_12 9417 9698
contig_12 13358 13840
contig_12 20788 20952
contig_12 23989 24159
contig_12 29672 29833
contig_120 1552 2253
contig_120 15504 15596
contig_120 22795 22866
contig_120 23600 23833
contig_121 7506 7757
contig_121 7864 7962
contig_122 5384 5668
contig_122 25686 26069
contig_122 27165 27239
contig_122 33865 34935
contig_124 1236 1352
contig_129 901 1074
contig_13 2411 2545
contig_13 3818 4432
contig_13 4499 4807
contig_13 29197 30039
contig_13 34999 36036
contig_131 8476 8826
contig_131 16829 17029
contig_131 18068 18154
contig_131 19057 19239
contig_137 6628 6981
contig_137 14888 15706
contig_138 1700 1777
contig_14 1737 2063
contig_14 3215 3568
contig_14 3812 3943
contig_14 15532 15648
contig_14 18843 19064
contig_14 19152 19304
contig_14 19959 20351
contig_14 33554 33682
contig_14 40009 40215
contig_14 42665 42832
contig_14 45192 45431
contig_14 47441 47542
contig_14 48568 48870
contig_14 56961 57125
contig_14 59049 59288
contig_144 1576 1752
contig_144 10052 10411
contig_146 248 706
contig_147 336 2024
contig_147 8183 8563
contig_15 11117 11296
contig_15 16587 16760
contig_15 20641 20748
contig_15 23694 23903
contig_15 26841 27068
contig_15 28697 28795
contig_15 34799 34981
contig_15 38415 38594
contig_15 38777 39151
contig_15 39869 40021
contig_15 40094 40249
contig_15 52312 52416
contig_15 71999 72262
contig_15 72332 72532
contig_151 244 1521
contig_152 1869 2786
contig_161 7932 8036
contig_163 1605 1757
contig_163 15694 15846
contig_17 15710 15862
contig_17 16696 16953
contig_17 18703 19053
contig_17 46824 47066
contig_17 74671 75051
contig_17 83492 83647
contig_17 85883 86008
contig_17 86776 86823
contig_17 110943 111050
contig_17 111427 111612
contig_17 122430 122831
contig_17 125538 125603
contig_17 133734 133826
contig_17 142330 142506
contig_17 176225 176314
contig_171 2473 2646
contig_174 813 1703
contig_174 3100 3312
contig_174 5734 5982
contig_176 162 455
contig_176 467 805
contig_18 4269 4523
